29 , 1711
22 , 2904
18 , 3357
68 , 9714
49 , 4907
36 , 3467
47 , 3773
16 , 2553
3 , 35680
71 , 10851
58 , 4752
48 , 2993
62 , 7309
52 , 4932
21 , 3512
11 , 6130
7 , 19093
35 , 2186
34 , 3903
24 , 3446
59 , 6532
50 , 4184
10 , 2757
40 , 4404
32 , 1978
64 , 4326
45 , 3209
28 , 3336
74 , 12577
73 , 1567
27 , 3591
65 , 8374
15 , 3177
61 , 4490
53 , 4806
6 , 5115
51 , 2738
56 , 5610
46 , 4647
42 , 3371
33 , 3588
25 , 3135
12 , 3079
70 , 2703
37 , 4066
19 , 2682
57 , 2116
55 , 4848
43 , 4551
26 , 1486
60 , 1709
14 , 809
39 , 3552
63 , 1385
41 , 2821
69 , 486
38 , 2537
44 , 3161
72 , 209
67 , 3609
54 , 2515
31 , 3588
17 , 982
30 , 3647
23 , 1320
20 , 1149
13 , 2247
9 , 3121
66 , 937
